#DEPT	六五最大主应力	六五最小主应力
283.30000000	4.91863049	4.279053379
283.40000000	4.920405975	4.280346113
283.50000000	4.922310653	4.281852678
283.60000000	4.924296859	4.28349419
283.70000000	4.926403383	4.285334865
283.80000000	4.928618372	4.287355087
283.90000000	4.930865884	4.289429153
284.00000000	4.933131229	4.291532745
284.10000000	4.935325075	4.293517989
284.20000000	4.937458763	4.295403654
284.30000000	4.939471489	4.297089087
284.40000000	4.94138612	4.298612131
284.50000000	4.943253594	4.300057102
284.60000000	4.945087719	4.301446856
284.70000000	4.946972964	4.302921227
284.80000000	4.948905523	4.304473922
284.90000000	4.950968779	4.30624299
285.00000000	4.953122184	4.308161313
285.10000000	4.955337249	4.310181723
285.20000000	4.957611052	4.312299386
285.30000000	4.959860607	4.314376911
285.40000000	4.962085792	4.316414095
285.50000000	4.96418578	4.318244005
285.60000000	4.966197193	4.319927268
285.70000000	4.968127705	4.321476583
285.80000000	4.969911882	4.322783603
285.90000000	4.971659096	4.324029406
286.00000000	4.973365389	4.325207434
286.10000000	4.975088782	4.326413752
286.20000000	4.976854768	4.327690583
286.30000000	4.978677361	4.329061135
286.40000000	4.980615395	4.330622842
286.50000000	4.982597647	4.332257769
286.60000000	4.984632412	4.333979657
286.70000000	4.986663579	4.335695588
286.80000000	4.988664771	4.337361878
286.90000000	4.990606735	4.338930081
287.00000000	4.992451531	4.340337359
287.10000000	4.994250289	4.34166838
287.20000000	4.995992123	4.34290511
287.30000000	4.99773745	4.344147609
287.40000000	4.999503459	4.345424348
287.50000000	5.001334527	4.346808828
287.60000000	5.003257042	4.348344765
287.70000000	5.005239358	4.34997975
287.80000000	5.007320537	4.351778488
287.90000000	5.009456535	4.353668031
288.00000000	5.011626495	4.35561383
288.10000000	5.013833292	4.357620652
288.20000000	5.016054844	4.359651919
288.30000000	5.018288055	4.361702502
288.40000000	5.020544677	4.363791869
288.50000000	5.022820898	4.365913707
288.60000000	5.025112735	4.368061417
288.70000000	5.027414925	4.37022628
288.80000000	5.02968028	4.372330134
288.90000000	5.031911639	4.374377683
289.00000000	5.034001725	4.376191227
289.10000000	5.036060042	4.377952148
289.20000000	5.038083131	4.379654714
289.30000000	5.040325046	4.381719766
289.40000000	5.042871866	4.384289895
289.50000000	5.045812912	4.38751304
289.60000000	5.049739038	4.392367821
289.70000000	5.054211406	4.398127144
289.80000000	5.059393019	4.405060736
289.90000000	5.065273848	4.413151626
290.00000000	5.071266028	4.421426134
290.10000000	5.077307288	4.429781122
290.20000000	5.082758472	4.437158664
290.30000000	5.087657105	4.443621196
290.40000000	5.091571126	4.448453912
290.50000000	5.094223622	4.451198783
290.60000000	5.096119991	4.452692286
290.70000000	5.096839778	4.452238457
290.80000000	5.096793928	4.450517168
290.90000000	5.096312785	4.44807495
291.00000000	5.095396547	4.444911918
291.10000000	5.09442074	4.441649624
291.20000000	5.093413889	4.438335274
291.30000000	5.092568514	4.435287695
291.40000000	5.091858186	4.43246321
291.50000000	5.091244369	4.429798055
291.60000000	5.090872708	4.427533573
291.70000000	5.090670496	4.425549415
291.80000000	5.090618391	4.423813613
291.90000000	5.091057943	4.422892206
292.00000000	5.091836921	4.422533089
292.10000000	5.092942253	4.422714689
